full_name,ast_x,ast_y,ast_z,r_au,class
141851 (2002 PM6),1.2002784404583455,0.34515975966201706,0.4123410704520236,1.3152295437301356,APO
143404 (2003 BD44),1.2452896513436014,0.020182931030821315,0.00023375416243227713,1.245453219149347,APO
143487 (2003 CR20),1.323243393183852,2.8043503112457815,-0.25049513208964225,3.11096473091381,APO
143649 (2003 QQ47),0.07536037121019296,-0.5976307912707087,-1.1309973876161945,1.28140424496661,APO
143651 (2003 QO104),2.393507388466033,1.424652138131069,-0.263664570081669,2.79786174405371,APO
143992 (2004 AF),0.814238291179854,-0.5588068057637827,0.08724445479223641,0.9913932801282273,APO
144332 (2004 DV24),-0.5699282030881346,0.8196051953933836,-1.0658770305739211,1.460364569994827,APO
144898 (2004 VD17),-1.4633609920344786,1.8592616935715705,-0.17370976713177388,2.3724364103991773,APO
144900 (2004 VG64),0.9659455041543168,0.7856306588501029,-0.16296071469153683,1.2557159088161465,ATE
152560 (1991 BN),-1.47795577283843,1.1528191574780569,-0.09053708243215053,1.8765772671569332,APO
152561 (1991 RB),-1.234169744889879,-1.5976647781759636,-0.5734287898367254,2.098696805076715,APO
152637 (1997 NC1),0.8692196639049158,-0.33972628678468747,-0.24796945241172474,0.9656322402347889,ATE
152664 (1998 FW4),-0.10412205191276427,0.7287731973705527,0.042449067816436856,0.7373965678376238,APO
152671 (1998 HL3),-1.139063766873546,-0.7274363241203592,0.04769740101381422,1.3523701093699776,APO
152680 (1998 KJ9),-2.019101082304419,-0.6558295915065989,0.4043982591050255,2.1611153568529757,APO
152685 (1998 MZ),1.9316932227058536,0.10599474342650728,-0.004422914660293684,1.9346041337844466,APO
152754 (1999 GS6),0.5259927378641776,-1.6108690035776745,-0.02645968051486968,1.694776510831482,APO
152770 (1999 RR28),-1.1101271021745942,-0.4354774106911371,0.059035154902295314,1.1939463588114658,APO
152828 (1999 VT25),1.6988435788547471,0.35605311396602934,0.07841552782706329,1.7375247682796662,APO
152978 (2000 GJ147),0.7153773590244954,0.986285166773273,-0.037614695352252064,1.2189905911483845,APO
153002 (2000 JG5),-0.1380367032467593,-2.1376685631295453,1.0488530002577265,2.3851150147079285,APO
153201 (2000 WO107),-0.7131183530197568,0.5926816400260201,0.11968800194635101,0.9349516188805991,ATE
153220 (2000 YN29),1.0338886686040152,-1.2690543468023845,-0.1618954708337636,1.644881411434361,APO
153311 (2001 MG1),-1.2735225306123552,1.7949678295898521,-0.3473606528396224,2.228099766253964,APO
153591 (2001 SN263),1.1705477740723864,-2.4638367070797216,-0.16141676877967068,2.7325315705006106,AMO
153814 (2001 WN5),-1.7763137410920626,-0.5028699587231051,-0.06121444871651746,1.8471372203792344,APO
153958 (2002 AM31),0.4889150330386262,-0.8976615165223091,0.03608717845587704,1.0228080915915747,APO
154019 (2002 CZ9),1.4617057854473334,1.0240122312118007,-0.14774873639611677,1.7908139328216728,APO
154269 (2002 SM),2.2720864381204686,0.39105294708946936,-0.010376360768051318,2.305516614249636,APO
154275 (2002 SR41),0.6039250424850096,-1.2786280543041015,0.21367155699778229,1.4301296068761984,APO
154276 (2002 SY50),0.9646277324531961,-2.293845679672175,-0.37525872503838154,2.516555935218991,APO
154302 (2002 UQ3),-0.43315297445171713,-1.3757049335054357,0.3948165476900888,1.4953480095541254,APO
154330 (2002 VX94),1.9861862232000491,0.36960477860149177,0.19577704626829778,2.0297467963862568,APO
154590 (2003 MA3),-0.13296567642958576,0.8412046249481956,-0.017009353499755245,0.8518182964981975,APO
155338 (2006 MZ1),-1.0362351435503099,-1.4285932785930848,0.00832707492712462,1.7648601555213694,APO
159504 (2000 WO67),-3.5169357464033046,-0.3292132321259855,0.5895054653739876,3.581163929540507,APO
159857 (2004 LJ1),-2.243146752779126,1.0083835920958508,-1.0347232443459784,2.6681823430383345,APO
161989 Cacus (1978 CA),-0.9676480690581352,-0.15185578163195393,0.2228974451759237,1.004532844178299,APO
162000 (1990 OS),-0.9032980992392946,1.3724393026277992,0.021374976488716915,1.6431658422407325,APO
162039 (1996 JG),-0.3631757779738224,1.6991540045562952,0.12163601848765818,1.741785376531826,APO
162082 (1998 HL1),-1.350748896663627,0.38886773543086184,-0.3905489126649311,1.4588588522132262,APO
162116 (1998 SA15),-1.648271495174176,-0.8839074519410601,0.23271428211035777,1.8847406300334248,APO
162120 (1998 SH36),1.3846006994096545,-0.2537602705820525,0.039026441901784246,1.4082032647665228,APO
162162 (1999 DB7),-0.2719455738163083,-1.0253946676619663,0.20136560318661892,1.0797854998723526,APO
162173 Ryugu (1999 JU3),1.2133711808299052,-0.16664586459036035,0.12365116068822071,1.2309874394944782,APO
162183 (1999 NB5),-1.961317596481968,-1.5609468748540591,-0.0180807182406704,2.506720720933737,APO
162361 (2000 AF6),-0.6384898930658117,-0.4263945052787723,0.035281237050479065,0.768587264640088,ATE
162416 (2000 EH26),1.2548187254105125,-0.7771074783443606,0.00948728504542217,1.4759932503629976,APO
162421 (2000 ET70),-0.645488199497904,0.7248471424116669,0.13251527678059258,0.979601293452414,ATE
